名稱,斷詞結果_0,斷詞結果_1,斷詞結果_2,斷詞結果_3,斷詞結果_4,斷詞結果_5,斷詞結果_6,斷詞結果_7,斷詞結果_8,斷詞結果_9,斷詞結果_10,斷詞結果_11,斷詞結果_12,斷詞結果_13,斷詞結果_14,斷詞結果_15,斷詞結果_16,斷詞結果_17,斷詞結果_18,斷詞結果_19,斷詞結果_20,斷詞結果_21,斷詞結果_22,斷詞結果_23,斷詞結果_24,斷詞結果_25,斷詞結果_26,斷詞結果_27,斷詞結果_28,斷詞結果_29,斷詞結果_30,斷詞結果_31,斷詞結果_32,斷詞結果_33,斷詞結果_34,斷詞結果_35,斷詞結果_36,斷詞結果_37,斷詞結果_38,斷詞結果_39,斷詞結果_40,斷詞結果_41,斷詞結果_42,斷詞結果_43,斷詞結果_44,斷詞結果_45,斷詞結果_46,斷詞結果_47,斷詞結果_48,斷詞結果_49,斷詞結果_50,斷詞結果_51,斷詞結果_52,斷詞結果_53,斷詞結果_54
109年度「製造業能源管理示範輔導計畫」能源管理系統示範團隊,109年度,「,製造業,能源,管理,示範,輔導,計畫,」,能源,管理,系統,示範,團隊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
節能玻璃開發,節能,玻璃,開發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
油泥燃料錠燃燒性能測試(II),油泥,燃料錠,燃燒,性能,測試,(,II,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三相無橋式升壓型高功因交-直流轉換器之研製,三相,無橋式,升壓型,高功,因交,-,直流,轉換器,之,研製,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高雄榮民總醫院2020年永續經營報告書編製服務作業,高雄,榮民,總醫院,2020年,永續,經營,報告書,編製,服務,作業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
於嵌入式平台上開發符合OSEK/VDX規範之通訊與網管系統,於,嵌入式,平台,上,開發,符合,OSEK/VDX,規範,之,通訊,與,網管,系統,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
富氧碳材造粒(採購單號:3000628057),富氧碳材,造,粒,(,採購,單號,:3000628057),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109年「永續農業論壇」,109年,「,永續,農業,論壇,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台61線238K+464~278K+464　雙向快車道鋪面狀況評估與維修策略研究合作計畫,台61線,238,K+,464,~,278,K+,464,　,雙向,快車道,鋪面,狀況,評估,與,維修,策略,研究,合作,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹼性金屬氧化物之合成與應用(案號:EEA0917003)　,鹼性,金屬,氧化物,之,合成,與,應用,(,案號,:EEA,0917003,),　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基于多層次區塊鏈与人工智能物聯网之電能与需量反應交易平台系統,基于,多層次,區塊,鏈与,人工,智能物,聯网,之,電能,与,需量,反應,交易,平台,系統,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「職能導向課程認證設計與規劃輔導計畫」顧問服務,「,職能,導向,課程,認證,設計,與,規劃,輔導,計畫,」,顧問,服務,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
厭氧醱酵槽沼氣分析檢測(採購單號:3000631178),厭氧,醱酵槽,沼氣,分析,檢測,(,採購,單號,:3000631178),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
太陽電池結晶層輔助刮刀塗佈成模之相關材料檢測分析與性能評估(採購單號︰3000631083),太陽,電池,結晶層,輔助,刮刀,塗佈,成模,之,相關,材料,檢測,分析,與,性能,評估,(,採購,單號,︰,3000631083,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市政府智慧SOA服務平臺整體規劃案,臺南市,政府,智慧,SOA,服務,平臺,整體,規劃案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
『溫室氣體減量策略』座談會,『,溫室,氣體,減,量,策略,』,座談會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世界先進積體電路股份有限公司FAB123　ISO14067、14046產品碳水足跡更新、改版輔導,世界,先進,積體電路,股份,有限公司,FAB123　ISO,14067,、,14046,產品,碳水足跡,更新,、,改版,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
薩摩亞商順譽世界企業有限公司台灣分公司CSR撰寫協作平台權限租賃,薩摩亞商,順譽,世界,企業,有限公司,台灣,分公司,CSR,撰寫,協作,平台,權限,租賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生質尼龍關鍵單體15-戊二胺:製程整合與效益提昇,生質,尼龍,關鍵,單體,15,-,戊二胺,:,製程,整合,與,效益,提昇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
電動車後懸配置與結構設計能力提升合作案,電動車,後懸,配置,與,結構,設計,能力,提升,合作案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
康普材料科技股份有限公司109年產品碳足跡盤查輔導,康普,材料,科技,股份,有限公司,109年,產品,碳,足跡,盤查,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新？市一千分之一？值航測地形圖測製（第八期）計畫監審案,新,？市,一千分之一,？,值,航測,地形圖,測製,（,第八,期,）,計畫,監審案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深耕台南客家暨第四屆成大客家週系列活動,深耕,台南,客家,暨,第四,屆,成大,客家週,系列,活動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WELL　AP國際健康建築專業顧問師輔導認證培訓班,WELL　AP,國際,健康,建築,專業,顧問師,輔導,認證,培訓班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中華郵政2020年企業社會責任報告書編製專案,中華,郵政,2020年,企業,社會,責任,報告書,編製,專案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
翔第-建築用防火門及遮煙性能檢測專案,翔第,-,建築用,防火門,及,遮煙,性能,檢測,專案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109年臺南市鹽水商圈專案輔導計畫,109年,臺南市,鹽水,商圈,專案,輔導,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
精實研發系統導入技術輔導合同,精實,研發,系統,導入,技術,輔導,合同,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白河段轄區水泥混凝土路面維護工程(109-110)「國道3號蘭潭隧道鋪面檢測分析」,白河段,轄區,水泥,混凝土,路面,維護,工程,(,109,-,110,),「,國道,3號,蘭潭,隧道,鋪面,檢測,分析,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109-110年公司治理實務研討進修班,109-,110年,公司,治理,實務,研討,進修班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
結晶實驗ICP分析及結晶實驗氟離子分析(採購單號:3000645721),結晶,實驗,ICP,分析,及,結晶,實驗,氟離子,分析,(,採購,單號,:3000645721),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建置民航安全資訊平台之先期計畫,建置,民航,安全,資訊,平台,之,先期,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣日式建築土水作構造工法調查研究案,臺灣,日式,建築,土水,作,構造,工法,調查,研究案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大統益股份有限公司2020年企業社會責任報告書更新輔導,大統益,股份,有限公司,2020年,企業,社會,責任,報告書,更新,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李長榮化學工業股份有限公司大社廠ISO　50001新版轉版輔導服務,李長榮,化學,工業,股份,有限公司,大社廠,ISO　,50001,新版,轉版,輔導,服務,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「澎湖縣馬公市篤行十村第二期ROT案前置作業計畫」委託專業服務案,「,澎湖縣,馬公市,篤行,十,村,第二,期,ROT,案,前置,作業,計畫,」,委託,專業,服務案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波形石綿瓦屋頂空間分布推估基線調查計畫,波形,石綿瓦,屋頂,空間,分布,推估,基線,調查,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彰化縣芳苑鄉養殖池振動量測分析及評估工作,彰化縣,芳苑鄉,養殖池,振動,量測,分析,及,評估,工作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「淡海新市鎮場域」高精度地圖委外驗證案(採購單號︰1091119002),「,淡海,新,市鎮,場域,」,高精度,地圖,委外,驗證案,(,採購,單號,︰,1091119002,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林縣麥寮鄉養殖池振動量測分析及評估工作,雲林縣,麥寮鄉,養殖池,振動,量測,分析,及,評估,工作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021寒假機台教育訓練課程,2021,寒假,機台,教育,訓練,課程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
場址長期地下水質監測及預警計畫相關工作,場址,長期,地下,水質,監測,及,預警,計畫,相關,工作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(110)這個科系不一樣-科系<微>探索,(110),這,個,科系,不,一樣,-,科系,<,微,>,探索,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南寶樹脂化學工廠股份有限公司CSR撰寫協作資訊服務,南寶,樹脂,化學,工廠,股份,有限公司,CSR,撰寫,協作,資訊,服務,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分析IL-20　抗體,分析,IL-20　,抗體,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
量子電腦研習班,量子,電腦,研習班,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110年度布袋鹽田濕地第九區基礎調查監測,110年度,布袋,鹽田,濕地,第九,區,基礎,調查,監測,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水輪機製造安裝專業諮詢服務計畫,水輪機,製造,安裝,專業,諮詢,服務,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第五屆成大客家週系列活動,第五,屆,成大,客家週,系列,活動,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晶泰水泥加工廠股份有限公司110年度「推動中小企業循環經濟能力接軌國際輔導計畫-循環經濟綠色創新應用輔導,晶泰,水泥,加工廠,股份,有限公司,110年度,「,推動,中小企業,循環,經濟,能力,接軌,國際,輔導,計畫,-,循環,經濟,綠色,創新,應用,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣北段山區地下水資源調查與評估(4/4),臺灣,北段,山區,地下水,資源,調查,與,評估,(,4/4,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上福全球科技股份有限公司2020年企業社會責任(CSR)報告書更新輔導,上福,全球,科技,股份,有限公司,2020年,企業,社會,責任,(,CSR,),報告書,更新,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110年大規模崩塌潛勢區地表位移觀測系統發展計畫,110年,大規模,崩塌,潛勢區,地表,位移,觀測,系統,發展,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
微生物群多樣性與厭氧消化流程之關係委託研究計畫案,微生物群,多樣性,與,厭氧,消化,流程,之,關係,委託,研究,計畫案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T　型人才？世界樞紐　跨界高峰論壇,T　型,人才,？,世界,樞紐,　,跨,界,高峰,論壇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
氣凝膠技術委託研究,氣凝膠,技術,委託,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110年度新北市土石流災害應變研判及自主防災訓練管理執行計畫,110年度,新北市,土石流,災害,應變,研判,及,自主,防災,訓練,管理,執行,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
光洋應用材料科技股份有限公司ISO14064-1:2018溫室氣體盤查改版輔導,光洋,應用,材料,科技,股份,有限公司,ISO,14064,-,1:2018,溫室,氣體,盤查,改版,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市智慧路邊停車服務滿意度調查,臺南市,智慧路,邊,停車,服務,滿意度,調查,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市智慧路邊停車服務滿意度調查,臺南市,智慧路,邊,停車,服務,滿意度,調查,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東杰國際開發有限公司小分子褐藻多醣體之萃取及其抗氧化與抗凝血的測定,東杰,國際,開發,有限公司,小,分子,褐藻,多醣體,之,萃取,及,其,抗,氧化,與,抗,凝血,的,測定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
立境環境科技股份有限公司實施臺南市政府環境保護局「110年台南市低碳永續家園建構推動暨因應氣候變遷減緩與調適計畫」,立境,環境,科技,股份,有限公司,實施,臺南市,政府,環境,保護,局,「,110年,台南市,低碳,永續,家園,建構,推動,暨,因應,氣候,變遷,減緩,與,調適,計畫,」,,,,,,,,,,,,,,,,,,,,,,,,,,,
大規模崩塌與地形特性以及地下水分布關聯之研究,大規模,崩塌,與,地形,特性,以及,地下水,分布,關聯,之,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
因應極端氣候水資源系統備援能力評估規劃,因應,極端,氣候,水,資源,系統,備援,能力,評估,規劃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圓剛科技股份有限公司2020年CSR報告書輔導,圓剛,科技,股份,有限公司,2020年,CSR,報告書,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圓展科技股份有限公司2020年CSR報告書輔導,圓展,科技,股份,有限公司,2020年,CSR,報告書,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東杰國際開發有限公司天然酵母維生素B群及鹿茸有效成分之萃取與分析,東杰,國際,開發,有限公司,天然,酵母,維生素,B群,及,鹿茸,有效,成分,之,萃取,與,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
台中轉運站建築環境分析,台中,轉運站,建築,環境,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雲林地區深層壓縮參數調查與資料分析,雲林,地區,深層,壓縮,參數,調查,與,資料,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
土石流警戒值說明會暨防災應變協助及雨量站現勘,土石流,警戒值,說明會,暨,防災,應變,協助,及,雨量站,現勘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高解析影像拍攝裂縫寬度研究工作,高解析,影像,拍攝,裂縫,寬度,研究,工作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
八寶寮崩塌地第5期-多因子警戒值研究-導電度與淺層邊坡抗剪強度之關聯性分析,八寶寮,崩塌地,第5,期,-,多,因子警戒值,研究,-,導電度,與,淺層,邊坡,抗,剪,強度,之,關聯性,分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
群創光電之穿透式(Array4　OHS)技術諮詢合約(PO:4700395697),群創,光電,之,穿透式,(,Array4　OHS,),技術,諮詢,合約,(,PO:,4700395697,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
群創光電之非穿透式(Array3　OHS)技術諮詢合約(PO:4700397284),群創,光電,之,非,穿透式,(,Array3　OHS,),技術,諮詢,合約,(,PO:,4700397284,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北港港區整體發展細部規劃暨物流倉儲區二-1期公共工程設計監造委託技術服務-,臺北港,港區,整體,發展,細部,規劃,暨,物流,倉儲區,二-,1,期,公共,工程,設計,監造,委託,技術,服務,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海科館水下4K視訊系統及環境監測案之海域生態調查部分,海科館,水下,4K,視訊,系統,及,環境,監測案,之,海域,生態,調查,部分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ka–Band氮化鎵功率元件之研發,Ka–Band,氮化鎵,功率,元件,之,研發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市智慧路邊停車服務滿意度調查,臺南市,智慧路,邊,停車,服務,滿意度,調查,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
櫻花建設股份有限公司2020年企業社會責任(CSR)報告書輔導,櫻花,建設,股份,有限公司,2020年,企業,社會,責任,(,CSR,),報告書,輔導,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110年度「製造業能源管理示範輔導計畫」能源管理系統示範團隊,110年度,「,製造業,能源,管理,示範,輔導,計畫,」,能源,管理,系統,示範,團隊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利用常壓水離子暨電漿分解前處理技術自鋰電池及太陽能板回收有價金屬,利用,常,壓,水,離子,暨,電漿,分解,前,處理,技術,自,鋰,電池,及,太陽能板,回收,有價金屬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
興達電廠更新計畫？進水口結構模型測試,興達,電廠,更新,計畫,？,進水口,結構,模型,測試,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「台電綜研所深澳所區開發計畫可行性研究」-　未來電網研試中心相關工作諮詢顧問,「,台電,綜研所,深澳,所,區,開發,計畫,可行性,研究,」,-　,未來,電網,研試,中心,相關,工作,諮詢,顧問,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K12廢水系統最佳操作指標建立,K12,廢水,系統,最佳,操作,指標,建立,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research for Developing Quality of Life Application Services,Research for ,Developing Quality of Life Application Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI預測性設備維護演算法開發,AI,預測性,設備,維護,演算法,開發,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Research　on　EDT　Compression　Techniques,Research　on　EDT　,Compression　,Techniques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
？？安平吉室，順利吉室？-“椪”出漢餅新鮮事~？,？,？,安平,吉室,，,順利,吉室,？,-,“,椪,”出,漢餅,新鮮,事,~,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
材料燃燒測試委託檢測(採購案號︰SBD0800008),材料,燃燒,測試,委託,檢測,(,採購,案號,︰,SBD,0800008,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用非線性動？分析法於中高？層軟弱層及扭轉？規則建築之詳細耐震能？評估,應用,非線性,動,？,分析法,於,中高,？,層,軟弱層,及,扭轉,？,規則,建築,之,詳細,耐震能,？,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108年度資料浮標系統及錨繫設備更新維護,108年度,資料,浮標,系統,及,錨繫,設備,更新,維護,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
產業競爭力整合服務推動計畫-辦理企業升級轉型訪視及診斷服務,產業,競爭力,整合,服務,推動,計畫,-,辦理,企業,升級,轉型,訪視,及,診斷,服務,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「智慧電網及虛擬電廠」技術諮詢服務,「,智慧,電網,及,虛擬,電廠,」,技術,諮詢,服務,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
致伸科技股份有限公司企業社會責任(CSR)網站專區開發規劃專案,致伸,科技,股份,有限公司,企業,社會,責任,(,CSR,),網站,專區,開發,規劃,專案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上緯旺來園區建築耗能與光環境模擬分析案,上,緯旺來,園區,建築,耗能,與,光,環境,模擬,分析案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
？rsted　CPTU　in　Silt,？rsted　CPTU　in　Silt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
提高綠能占比之區域電網饋線重組與轉供技術研究(採購案號︰NL1080112),提高,綠能,占,比,之,區域,電網,饋線,重組,與,轉供,技術,研究,(,採購,案號,︰,NL,1080112,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「沙崙綠能科學城C區第一期-建築能源管理系統建置」委託研究,「,沙崙,綠能,科學城,C區,第一,期,-,建築,能源,管理,系統,建置,」,委託,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
特用鋁合金線材開發暨塗層應用性質研究,特用,鋁合金,線材,開發,暨,塗層,應用,性質,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建構臺灣海象及氣象災防環境服務系統-108年度海象災防應用技術發展(3/4),建構,臺灣,海象,及,氣象,災防,環境,服務,系統,-,108年度,海象,災防,應用,技術,發展,(,3/4,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108年度近海水文觀測站網維護管理與運作,108年度,近海,水文,觀測,站,網,維護,管理,與,運作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中西太平洋大型圍網漁業正鰹魚況預報可行性分析(108農科-9.1.4-漁-F1(5-1)),中西,太平洋,大型,圍網,漁業,正,鰹魚況,預報,可行性,分析,(,108,農科,-,9.1.4,-,漁,-F1,(,5-1,),),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
輥面毛邊檢測技術開發先期分析及研究(RE108004),輥面,毛邊,檢測,技術,開發,先期,分析,及,研究,(,RE,108004,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM　Study　of　Cu　RDL/TV　in　HD-FOCoS　Packaging,EM　Study　of　Cu　RDL/TV　in　HD-FOCoS　Packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
電競配備相關產品創意設計,電競,配備,相關,產品,創意,設計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
八寶寮崩塌地第3期—坡地穩定性耦合分析模型建立與評估,八寶寮,崩塌地,第3,期,—,坡地,穩定性,耦合,分析,模型,建立,與,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
建置民航安全資訊平台與機制之評估研究,建置,民航,安全,資訊,平台,與,機制,之,評估,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
組織光譜分析研究,組織,光譜,分析,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
使用已開發之分析策略來評估台灣神隆GMP產生之Glatiramer　Acetate　API與市售原廠藥之相似性,使用,已,開發,之,分析,策略,來,評估,台灣,神隆,GMP,產生,之,Glatiramer　Acetate　API,與,市售,原廠藥,之,相似性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
車輛潔淨燃料發展對能源供應影響議題研究,車輛,潔淨,燃料,發展,對,能源,供應,影響,議題,研究,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺南市鹿耳門溪口海岸監測調查及淤沙問題之研究評估,臺南市,鹿耳門,溪口,海岸,監測,調查,及,淤沙,問題,之,研究,評估,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「108年度三維近似化建物模型建置工作採購案」─三維建物模型資料測試及精進作業工作契約,「,108年度,三維,近似化,建物,模型,建置,工作,採購案,」,─,三維,建物,模型,資料,測試,及,精進,作業,工作,契約,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
薄膜生物反應器曝氣抗垢與節能最佳化操作之研究(1/2),薄膜,生物,反應器,曝氣,抗垢,與,節能,最佳化,操作,之,研究,(,1/2,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
築壩式農塘功能與壩體工法改善計畫,築壩式,農塘,功能,與,壩體,工法,改善,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
產業技術及人才培育研究計畫︰綠晶綠建材研究中心,產業,技術,及,人才,培育,研究,計畫,︰,綠晶綠,建材,研究,中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海商業儲蓄銀行新建大樓風洞試驗,上海,商業,儲蓄,銀行,新建,大樓,風洞,試驗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「108年高雄厝智慧生活科技應用與推廣計畫」委託專業服務案,「,108年,高雄厝,智慧,生活,科技,應用,與,推廣,計畫,」,委託,專業,服務案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108年南科園區永續報告書暨職安衛先驅研究委辦案,108年,南科,園區,永續,報告書,暨,職,安衛,先驅,研究,委辦案,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
微奈米中心2019暑期主題式課程,微奈米,中心,2019,暑期,主題式,課程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生鮮加工銷售一條龍計畫,生鮮,加工,銷售,一,條,龍,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國際建築節能政策中的能源計算方法研析(採購單號︰3000596371),國際,建築,節,能,政策,中,的,能源,計算,方法,研析,(,採購,單號,︰,3000596371,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108年度建構工業區產業發展韌性之研究計畫,108年度,建構,工業區,產業,發展,韌性,之,研究,計畫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
